ID Number,Last Name,First Name,Course,Year Level,Gender
2021-0008,Galindo,Daniel,BS ACCOUNTANCY,1ST YEAR,MALE
2021-0009,Galleto,Kathryn,BS ACCOUNTANCY,1ST YEAR,FEMALE
2021-0010,Gamboayon,Liza,BS NURSING,1ST YEAR,FEMALE
2021-0011,Gao-gao,Enrique,BS STATISTICS,1ST YEAR,MALE
2021-0012,Gaudan,Donnalyn,BS MATHEMATICS,1ST YEAR,FEMALE
2021-0013,Gausin,Jaime,BS MARINE BIO,1ST YEAR,MALE
2021-0014,Genalazo,Zyden,BS STATISTICS,1ST YEAR,MALE
2021-0015,Gomez,Ion,BS STATISTICS,1ST YEAR,MALE
2021-0016,Gomonit,Brix,BS NURSING,1ST YEAR,MALE
2021-0017,Gumabay,Miguel,BS BIOLOGY,1ST YEAR,MALE
2021-0018,Gumiason,Bernabe,BS MATHEMATICS,1ST YEAR,MALE
2021-0019,Gumical,Julius,BS ACCOUNTANCY,1ST YEAR,MALE
2021-0020,Habagat,Julia,BS BIOLOGY,1ST YEAR,FEMALE
2021-0021,Haganos,Jack,BS BIOLOGY,1ST YEAR,MALE
2021-0022,Herodico,Katrina,BS BIOLOGY,1ST YEAR,FEMALE
2021-0023,Humonong,Bela,BS NURSING,1ST YEAR,FEMALE
2021-0024,Infiesto,Annabel,BS BIOLOGY,1ST YEAR,FEMALE
2021-0025,Ipat,Mirabela,BS MATHEMATICS,1ST YEAR,FEMALE
2021-0026,Lada,Pepa,BS STATISTICS,1ST YEAR,FEMALE
2021-0027,Langheras,Jackie,BS STATISTICS,1ST YEAR,MALE
2021-0028,Lao,Elise,BS STATISTICS,1ST YEAR,FEMALE
2021-0029,Lapinig,Elsa,BS NURSING,1ST YEAR,FEMALE
2021-0030,Largo,Danny,BS ACCOUNTANCY,1ST YEAR,MALE
2021-0031,Lastimoso,Jerson,BS ACCOUNTANCY,1ST YEAR,MALE
2021-0032,Limbago,Romeo,BS NURSING,1ST YEAR,MALE
2021-0033,Liponhay,Juliet,BS BIOLOGY,1ST YEAR,FEMALE
2021-0034,Loar,Ramboo,BS MARINE BIO,1ST YEAR,MALE
2021-0035,Lopio,Angelina,BS MARINE BIO,1ST YEAR,FEMALE
2021-0036,Lucas,Jolie,BS CIVIL ENGINEER,1ST YEAR,FEMALE
2021-0037,Lumantas,Judi,BS CIVIL ENGINEER,1ST YEAR,FEMALE
2021-0038,Lumayag,Troy,BS STATISTICS,1ST YEAR,MALE
2021-0039,Lusing,Luke,BS MATHEMATICS,1ST YEAR,MALE
2021-0040,Maang,Bubble,BS ECONOMICS,1ST YEAR,MALE
2021-0041,Macalisang,Evelyn,BS ECONOMICS,1ST YEAR,FEMALE
2021-0042,Macasandag,Pedrita,BS NURSING,1ST YEAR,FEMALE
2021-0043,Maghanoy,Francisco,BS ECONOMICS,1ST YEAR,MALE
2021-0044,Malima,Juvy,BS STATISTICS,1ST YEAR,FEMALE
2021-0045,Malinao,Ariel,BS MATHEMATICS,1ST YEAR,MALE
2021-0046,Montimar,Ailyn,BS MATHEMATICS,1ST YEAR,FEMALE
2021-0047,Montoya,Nedh,BS ECONOMICS,1ST YEAR,FEMALE
2021-0048,Obalo,Ella,BS NURSING,1ST YEAR,FEMALE
2021-0049,Ocaya,Cairon,BS ECONOMICS,1ST YEAR,FEMALE
2021-0050,Omandam,Arlene,BS ECONOMICS,1ST YEAR,FEMALE
2021-0051,Onday,Charlyn,BS NURSING,1ST YEAR,FEMALE
2021-0052,Oracion,Jeffrey,BS NURSING,1ST YEAR,FEMALE
2021-0053,Orang,Marjorie,BS BIOLOGY,1ST YEAR,FEMALE
2021-0054,Osi-os,Micha,BS CIVIL ENGINEER,1ST YEAR,FEMALE
2021-0055,Pacheco,Dalia,BS ACCOUNTANCY,1ST YEAR,FEMALE
2021-0056,Paderanga,Anne,BS STATISTICS,1ST YEAR,FEMALE
2021-0057,Padilla,Leah,BS ACCOUNTANCY,1ST YEAR,FEMALE
2021-0058,Palangan,Sarah,BS ACCOUNTANCY,1ST YEAR,FEMALE
2021-0059,Palar,Yeng,BS NURSING,1ST YEAR,FEMALE
2021-0060,Palin,Billie,BS NURSING,1ST YEAR,FEMALE
2021-0061,Pang-an,Taylor,BS ACCOUNTANCY,1ST YEAR,FEMALE
2021-0062,Paye,Caren,BS CIVIL ENGINEER,1ST YEAR,FEMALE
2021-0063,Permale,Jaye,BS CIVIL ENGINEER,1ST YEAR,MALE
2021-0064,Profita,Isabel,BS ECONOMICS,1ST YEAR,FEMALE
2021-0065,Ramo,Laziz,BS ECONOMICS,1ST YEAR,MALE
2021-0066,Raval,Shawn,BS STATISTICS,1ST YEAR,MALE
2021-0067,Reid,Jamaica,BS MARINE BIO,1ST YEAR,FEMALE
2021-0068,Reyes ,Alona,BS MARINE BIO,1ST YEAR,FEMALE
2021-0069,Sarminta,Marivic,BS STATISTICS,1ST YEAR,FEMALE
2021-0070,Tundag,Glecerio,BS CIVIL ENGINEER,1ST YEAR,MALE

